Index,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,WindDirDegrees,energyConsumption,Date
67,-5.6,-17.8,38.0,1021.1,16.1,330.0,37.6741,2012-01-03 19:00:00
68,-6.1,-17.8,40.0,1021.6,16.1,340.0,34.6735,2012-01-03 20:00:00
69,-6.7,-17.8,42.0,1022.0,16.1,340.0,31.1728,2012-01-03 21:00:00
70,-7.2,-17.8,43.0,1022.3,16.1,330.0,27.58875,2012-01-03 22:00:00
71,-7.8,-18.3,44.0,1022.7,16.1,330.0,25.75505,2012-01-03 23:00:00
72,-8.3,-18.3,45.0,1022.7,16.1,320.0,26.0051,2012-01-04 00:00:00
73,-8.9,-18.9,45.0,1023.3,16.1,300.0,26.25515,2012-01-04 01:00:00
74,-9.4,-18.3,49.0,1023.9,16.1,320.0,27.75545,2012-01-04 02:00:00
75,-10.0,-19.4,47.0,1023.8,16.1,320.0,27.8388,2012-01-04 03:00:00
76,-10.6,-19.4,49.0,1024.0,16.1,310.0,29.0057,2012-01-04 04:00:00
77,-10.6,-18.9,51.0,1024.4,16.1,300.0,32.5064,2012-01-04 05:00:00
78,,,,,,,41.2581,2012-01-04 06:00:00
79,-10.0,-19.4,47.0,1025.4,16.1,300.0,45.09215,2012-01-04 07:00:00
80,-8.9,-18.9,45.0,1025.9,16.1,290.0,49.8431,2012-01-04 08:00:00
81,,,,,,,55.6776,2012-01-04 09:00:00
82,,,,,,,57.76135,2012-01-04 10:00:00
83,-5.0,-16.7,40.0,1022.5,16.1,0.0,57.76135,2012-01-04 11:00:00
84,-4.4,-16.1,40.0,1021.0,16.1,280.0,57.26125,2012-01-04 12:00:00
85,-3.3,-15.6,39.0,1020.2,16.1,240.0,56.3444,2012-01-04 13:00:00
86,-3.3,-14.4,43.0,1019.2,16.1,220.0,56.011,2012-01-04 14:00:00
87,-3.3,-13.9,44.0,1019.3,16.1,230.0,53.5105,2012-01-04 15:00:00
88,,,,,,,51.92685,2012-01-04 16:00:00
89,-4.4,-12.2,55.0,1018.8,16.1,0.0,49.1763,2012-01-04 17:00:00
90,-3.9,-11.7,55.0,1018.7,16.1,210.0,41.9248666667,2012-01-04 18:00:00
91,-3.3,-11.7,53.0,1018.1,16.1,0.0,38.1742,2012-01-04 19:00:00
92,-3.3,-10.6,58.0,1017.5,16.1,0.0,35.25695,2012-01-04 20:00:00
93,-2.2,-10.0,56.0,1016.8,16.1,210.0,31.75625,2012-01-04 21:00:00
94,-1.7,-7.8,64.0,1016.4,12.9,220.0,28.0055,2012-01-04 22:00:00
95,-2.55,-4.725,85.25,1015.8,2.9000000000000004,217.5,26.6719,2012-01-04 23:00:00
96,-2.2,-4.4,85.0,1015.4,16.1,260.0,26.25515,2012-01-05 00:00:00
97,-2.2,-3.9,88.0,1015.0,16.1,230.0,27.08865,2012-01-05 01:00:00
98,-2.6,-3.95,90.5,1014.3,15.3,105.0,27.3387,2012-01-05 02:00:00
99,-2.2,-3.9,88.0,1013.4,14.5,0.0,27.3387,2012-01-05 03:00:00
100,-2.2,-3.9,88.0,1013.5,14.5,0.0,27.75545,2012-01-05 04:00:00
101,-1.7,-3.9,85.0,1013.6,14.5,230.0,32.6731,2012-01-05 05:00:00
102,,,,,,,39.8411583333,2012-01-05 06:00:00
103,-1.1,-3.3,85.0,1014.8,12.9,240.0,44.5087,2012-01-05 07:00:00
104,-0.6,-3.9,79.0,1015.2,14.5,250.0,48.42615,2012-01-05 08:00:00
105,0.6,-5.0,66.0,1015.4,16.1,260.0,54.344,2012-01-05 09:00:00
106,1.7,-5.0,61.0,1014.6,16.1,270.0,56.26105,2012-01-05 10:00:00
107,2.8,-5.0,57.0,1013.6,16.1,290.0,56.1777,2012-01-05 11:00:00
108,3.3,-4.4,57.0,1012.8,16.1,240.0,57.5113,2012-01-05 12:00:00
109,3.3,-5.6,53.0,1013.1,16.1,280.0,57.0112,2012-01-05 13:00:00
110,,,,,,,55.1775,2012-01-05 14:00:00
111,3.9,-6.1,49.0,1013.9,16.1,300.0,53.59385,2012-01-05 15:00:00
112,3.3,-6.1,51.0,1014.2,16.1,280.0,52.8437,2012-01-05 16:00:00
113,0.6,-6.7,59.0,1015.2,16.1,0.0,49.0096,2012-01-05 17:00:00
114,-1.7,-6.7,69.0,1015.5,16.1,0.0,42.0082166667,2012-01-05 18:00:00
115,-2.8,-6.7,75.0,1015.9,16.1,0.0,37.25735,2012-01-05 19:00:00
116,-3.3,-6.7,78.0,1016.0,16.1,180.0,35.75705,2012-01-05 20:00:00
117,-3.3,-6.1,81.0,1015.8,16.1,0.0,31.5062,2012-01-05 21:00:00
118,-3.9,-6.7,81.0,1015.5,14.5,0.0,27.75545,2012-01-05 22:00:00
119,-3.9,-6.7,81.0,1015.0,14.5,0.0,26.25515,2012-01-05 23:00:00
120,-3.3,-6.1,81.0,1015.1,12.9,0.0,25.92175,2012-01-06 00:00:00
121,-2.2,-5.6,78.0,1014.7,12.9,0.0,26.08845,2012-01-06 01:00:00
122,,,,,,,26.42185,2012-01-06 02:00:00
123,0.0,-3.3,79.0,1013.5,14.5,0.0,26.1718,2012-01-06 03:00:00
124,-0.6,-3.3,82.0,1013.4,14.5,190.0,26.5052,2012-01-06 04:00:00
125,-0.6,-3.3,82.0,1013.3,12.9,190.0,31.25615,2012-01-06 05:00:00
126,-0.6,-2.8,85.0,1013.0,11.3,200.0,38.6742583333,2012-01-06 06:00:00
127,0.6,-2.2,82.0,1013.0,12.9,210.0,41.75815,2012-01-06 07:00:00
128,2.8,-1.7,73.0,1013.3,16.1,0.0,45.92565,2012-01-06 08:00:00
129,5.0,-2.2,60.0,1013.3,16.1,230.0,51.09335,2012-01-06 09:00:00
130,8.3,-2.8,46.0,1012.3,16.1,240.0,52.8437,2012-01-06 10:00:00
131,10.0,-2.8,41.0,1011.1,16.1,230.0,53.1771,2012-01-06 11:00:00
132,12.8,-2.2,35.0,1010.3,16.1,230.0,53.5105,2012-01-06 12:00:00
133,12.2,-2.2,37.0,1009.5,16.1,230.0,53.3438,2012-01-06 13:00:00
134,12.8,-2.2,35.0,1008.6,16.1,220.0,53.3438,2012-01-06 14:00:00
135,13.3,-2.2,34.0,1008.7,16.1,230.0,52.0102,2012-01-06 15:00:00
136,,,,,,,49.42635,2012-01-06 16:00:00
137,8.9,-1.1,50.0,1009.3,16.1,0.0,45.25885,2012-01-06 17:00:00
138,7.8,-1.1,54.0,1009.6,16.1,0.0,38.8409583333,2012-01-06 18:00:00
139,8.9,-1.1,50.0,1009.6,16.1,210.0,34.1734,2012-01-06 19:00:00
140,10.6,-1.1,44.0,1009.5,16.1,220.0,32.3397,2012-01-06 20:00:00
141,10.6,-1.1,44.0,1009.6,16.1,220.0,28.839,2012-01-06 21:00:00
142,8.3,-1.1,52.0,1009.4,16.1,220.0,25.8384,2012-01-06 22:00:00
143,8.9,-1.1,50.0,1009.1,16.1,230.0,24.75485,2012-01-06 23:00:00
144,7.8,-1.1,54.0,1008.9,16.1,220.0,24.75485,2012-01-07 00:00:00
145,5.6,-1.7,60.0,1009.0,16.1,220.0,24.6715,2012-01-07 01:00:00
146,7.2,-1.1,56.0,1008.9,16.1,230.0,24.92155,2012-01-07 02:00:00
147,6.1,-1.7,58.0,1008.5,16.1,230.0,24.58815,2012-01-07 03:00:00
148,7.2,-1.7,53.0,1008.5,16.1,230.0,24.5048,2012-01-07 04:00:00
149,7.2,-1.7,53.0,1008.8,16.1,230.0,25.3383,2012-01-07 05:00:00
150,5.6,-1.7,60.0,1008.9,16.1,230.0,26.6719,2012-01-07 06:00:00
151,4.4,-1.7,65.0,1009.4,16.1,220.0,27.0053,2012-01-07 07:00:00
152,9.4,-1.7,46.0,1010.0,16.1,220.0,30.3393,2012-01-07 08:00:00
153,12.2,-1.7,38.0,1010.2,16.1,250.0,33.75665,2012-01-07 09:00:00
154,14.4,-2.2,32.0,1009.6,16.1,240.0,34.6735,2012-01-07 10:00:00
155,17.2,-1.7,28.0,1008.5,16.1,220.0,34.92355,2012-01-07 11:00:00
156,17.8,-1.1,28.0,1007.8,16.1,220.0,35.3403,2012-01-07 12:00:00
157,17.8,-1.1,28.0,1007.5,16.1,230.0,33.08985,2012-01-07 13:00:00
158,17.2,0.0,31.0,1008.2,16.1,250.0,28.6723,2012-01-07 14:00:00
159,17.2,1.7,35.0,1008.7,16.1,240.0,28.3389,2012-01-07 15:00:00
160,15.6,2.2,41.0,1009.6,16.1,240.0,28.3389,2012-01-07 16:00:00
161,11.7,2.2,52.0,1010.4,16.1,230.0,27.8388,2012-01-07 17:00:00
162,13.3,2.8,49.0,1011.7,16.1,280.0,26.08845,2012-01-07 18:00:00
163,13.3,1.1,44.0,1012.7,16.1,290.0,25.6717,2012-01-07 19:00:00
164,11.7,0.0,45.0,1013.5,16.1,290.0,25.75505,2012-01-07 20:00:00
165,11.1,-1.7,41.0,1014.6,16.1,310.0,24.8382,2012-01-07 21:00:00
166,10.0,-3.9,38.0,1015.6,16.1,300.0,24.8382,2012-01-07 22:00:00
167,8.9,-5.0,37.0,1016.3,16.1,300.0,24.75485,2012-01-07 23:00:00
168,7.2,-5.0,42.0,1017.0,16.1,320.0,24.8382,2012-01-08 00:00:00
169,6.1,-4.4,47.0,1018.1,16.1,310.0,24.75485,2012-01-08 01:00:00
170,6.1,-3.9,49.0,1018.9,16.1,310.0,24.58815,2012-01-08 02:00:00
171,5.6,-3.9,51.0,1019.0,16.1,300.0,24.75485,2012-01-08 03:00:00
172,,,,,,,24.58815,2012-01-08 04:00:00
173,3.3,-3.9,60.0,1020.7,16.1,0.0,24.75485,2012-01-08 05:00:00
174,1.1,-3.9,70.0,1021.3,16.1,0.0,25.505,2012-01-08 06:00:00
175,0.0,-3.9,75.0,1021.9,16.1,0.0,25.3383,2012-01-08 07:00:00
176,5.6,-2.8,55.0,1023.0,16.1,260.0,25.3383,2012-01-08 08:00:00
177,8.3,-2.8,46.0,1023.5,16.1,310.0,26.25515,2012-01-08 09:00:00
178,8.3,-2.8,46.0,1023.5,16.1,310.0,27.5054,2012-01-08 10:00:00
179,8.3,-2.8,46.0,1022.8,16.1,280.0,27.0053,2012-01-08 11:00:00
180,8.3,-3.3,44.0,1022.6,16.1,280.0,27.08865,2012-01-08 12:00:00
181,8.9,-3.3,42.0,1022.5,16.1,280.0,27.3387,2012-01-08 13:00:00
182,7.8,-3.9,44.0,1022.9,16.1,280.0,27.58875,2012-01-08 14:00:00
183,8.3,-4.4,41.0,1023.5,16.1,320.0,27.3387,2012-01-08 15:00:00
184,7.2,-5.0,42.0,1024.3,16.1,0.0,26.92195,2012-01-08 16:00:00
185,6.1,-5.0,45.0,1025.3,16.1,320.0,26.6719,2012-01-08 17:00:00
186,4.4,-5.0,51.0,1025.9,16.1,0.0,26.3385,2012-01-08 18:00:00
187,2.8,-5.0,57.0,1026.3,16.1,0.0,26.3385,2012-01-08 19:00:00
188,-0.6,-5.0,72.0,1026.6,16.1,0.0,26.1718,2012-01-08 20:00:00
189,0.6,-5.0,66.0,1027.0,16.1,0.0,25.505,2012-01-08 21:00:00
190,-1.1,-5.0,75.0,1027.2,16.1,360.0,25.8384,2012-01-08 22:00:00
191,-2.2,-6.1,75.0,1027.2,16.1,0.0,25.58835,2012-01-08 23:00:00
192,-3.3,-6.1,81.0,1027.0,16.1,0.0,25.8384,2012-01-09 00:00:00
193,-3.9,-6.1,85.0,1027.2,16.1,0.0,25.75505,2012-01-09 01:00:00
194,-3.3,-5.6,84.0,1027.9,16.1,0.0,25.6717,2012-01-09 02:00:00
195,-2.2,-5.6,78.0,1027.4,16.1,0.0,25.75505,2012-01-09 03:00:00
196,-2.8,-5.6,81.0,1027.1,16.1,0.0,26.0051,2012-01-09 04:00:00
197,-2.8,-5.0,85.0,1027.1,16.1,0.0,30.42265,2012-01-09 05:00:00
198,,,,,,,38.5909083333,2012-01-09 06:00:00
199,-2.8,-5.6,81.0,1026.9,16.1,0.0,44.0086,2012-01-09 07:00:00
200,-1.1,-4.4,79.0,1027.3,16.1,0.0,48.8429,2012-01-09 08:00:00
201,1.1,-6.1,59.0,1027.3,16.1,0.0,54.1773,2012-01-09 09:00:00
202,,,,,,,56.59445,2012-01-09 10:00:00
203,2.8,-6.1,52.0,1025.0,16.1,0.0,57.42795,2012-01-09 11:00:00
204,3.9,-6.1,49.0,1023.9,16.1,190.0,58.5115,2012-01-09 12:00:00
205,3.9,-6.7,46.0,1022.7,16.1,160.0,57.42795,2012-01-09 13:00:00
206,5.0,-7.2,41.0,1022.2,16.1,0.0,56.59445,2012-01-09 14:00:00
207,4.4,-6.7,45.0,1021.6,16.1,200.0,54.76075,2012-01-09 15:00:00
208,1.7,-6.7,54.0,1020.7,16.1,0.0,53.26045,2012-01-09 16:00:00
209,2.2,-6.1,55.0,1020.2,16.1,180.0,49.5097,2012-01-09 17:00:00
210,2.8,-6.7,50.0,1020.3,16.1,0.0,43.25845,2012-01-09 18:00:00
211,2.8,-8.3,44.0,1019.4,16.1,170.0,38.0074916667,2012-01-09 19:00:00
212,2.1,-6.85,52.0,1018.85,16.1,105.0,35.6737,2012-01-09 20:00:00
213,2.1,-6.0,55.5,1018.65,16.1,225.0,32.173,2012-01-09 21:00:00
214,1.85,-2.9,71.0,1017.7,16.1,0.0,28.92235,2012-01-09 22:00:00
215,1.7,-1.7,78.0,1016.3,16.1,0.0,27.08865,2012-01-09 23:00:00
216,1.7,-1.1,82.0,1015.9,16.1,240.0,26.92195,2012-01-10 00:00:00
217,1.85,-1.05,81.5,1015.7,16.1,230.0,26.75525,2012-01-10 01:00:00
218,2.2,-0.6,82.0,1015.4,14.5,270.0,26.58855,2012-01-10 02:00:00
219,2.2,-1.1,79.0,1014.1,12.9,250.0,26.6719,2012-01-10 03:00:00
220,1.05,-1.05,86.0,1013.9,10.5,235.0,26.8386,2012-01-10 04:00:00
221,1.0333333333333334,-1.0333333333333334,86.33333333333333,1013.9333333333334,9.133333333333333,240.0,31.08945,2012-01-10 05:00:00
222,1.0,-1.0,87.0,1014.4,8.0,240.0,38.6742583333,2012-01-10 06:00:00
223,1.0333333333333334,-1.0333333333333334,86.33333333333333,1015.4,6.400000000000001,250.0,44.1753,2012-01-10 07:00:00
224,1.7,-0.6,85.0,1016.0,8.0,250.0,47.59265,2012-01-10 08:00:00
225,3.3,-1.1,73.0,1016.0,11.3,260.0,52.5103,2012-01-10 09:00:00
226,,,,,,,55.42755,2012-01-10 10:00:00
227,6.7,-1.7,55.0,1014.7,14.5,250.0,56.8445,2012-01-10 11:00:00
228,7.8,-1.7,51.0,1013.8,16.1,250.0,57.678,2012-01-10 12:00:00
229,8.9,-2.2,46.0,1013.6,16.1,270.0,58.3448,2012-01-10 13:00:00
230,9.4,-2.8,43.0,1014.0,16.1,280.0,57.678,2012-01-10 14:00:00
231,8.3,-2.8,46.0,1014.6,16.1,280.0,55.59425,2012-01-10 15:00:00
232,7.8,-3.9,44.0,1015.4,16.1,270.0,53.42715,2012-01-10 16:00:00
233,7.2,-3.9,46.0,1016.3,16.1,310.0,49.6764,2012-01-10 17:00:00
234,6.1,-3.9,49.0,1016.6,16.1,290.0,42.75835,2012-01-10 18:00:00
235,2.8,-3.9,62.0,1016.4,16.1,0.0,38.0075,2012-01-10 19:00:00
236,0.0,-4.4,73.0,1016.3,16.1,0.0,35.25695,2012-01-10 20:00:00
237,-1.7,-4.4,82.0,1016.6,16.1,0.0,31.58955,2012-01-10 21:00:00
238,-2.2,-5.0,81.0,1016.9,16.1,0.0,28.25555,2012-01-10 22:00:00
239,-2.2,-4.4,85.0,1017.1,16.1,0.0,26.92195,2012-01-10 23:00:00
240,-1.1,-4.4,79.0,1017.4,16.1,0.0,26.58855,2012-01-11 00:00:00
241,-2.8,-5.0,85.0,1017.9,16.1,0.0,27.0053,2012-01-11 01:00:00
242,-0.6,-3.9,79.0,1017.9,16.1,0.0,27.58875,2012-01-11 02:00:00
243,-2.8,-5.0,85.0,1017.2,16.1,0.0,27.6721,2012-01-11 03:00:00
244,-3.3,-5.6,84.0,1018.0,16.1,0.0,27.8388,2012-01-11 04:00:00
245,-4.4,-6.1,88.0,1018.0,11.3,0.0,31.5062,2012-01-11 05:00:00
246,-5.0,-6.7,88.0,1017.7,12.9,0.0,38.4242083333,2012-01-11 06:00:00
247,-5.0,-6.1,92.0,1018.1,11.3,0.0,43.09175,2012-01-11 07:00:00
248,-1.1,-2.8,88.0,1019.1,14.5,0.0,47.3426,2012-01-11 08:00:00
249,3.9,-1.1,70.0,1019.3,14.5,0.0,53.76055,2012-01-11 09:00:00
250,6.7,-1.1,58.0,1018.9,16.1,0.0,56.26105,2012-01-11 10:00:00
251,8.9,-2.2,46.0,1017.7,16.1,0.0,57.42795,2012-01-11 11:00:00
252,10.0,-1.7,44.0,1016.5,16.1,110.0,57.76135,2012-01-11 12:00:00
253,10.0,-2.2,43.0,1016.0,16.1,130.0,56.92785,2012-01-11 13:00:00
254,9.4,-1.7,46.0,1015.0,16.1,120.0,56.26105,2012-01-11 14:00:00
255,8.3,0.0,56.0,1014.8,16.1,120.0,55.1775,2012-01-11 15:00:00
256,7.2,-0.6,58.0,1014.3,16.1,110.0,53.6772,2012-01-11 16:00:00
257,6.7,0.6,65.0,1014.4,16.1,110.0,50.09315,2012-01-11 17:00:00
258,6.7,1.1,68.0,1013.6,16.1,90.0,43.6752,2012-01-11 18:00:00
259,,,,,,,38.674275,2012-01-11 19:00:00
260,6.0,3.0,81.0,1011.7,12.9,70.0,36.09045,2012-01-11 20:00:00
261,6.1,5.0,93.0,1010.0,9.7,80.0,32.58975,2012-01-11 21:00:00
262,6.9,5.866666666666667,93.0,1008.6333333333332,8.566666666666666,80.0,28.0055,2012-01-11 22:00:00
263,7.8,6.1,89.0,1006.8,8.0,90.0,26.25515,2012-01-11 23:00:00
264,7.8,6.7,93.0,1004.7,8.0,80.0,26.1718,2012-01-12 00:00:00
265,8.9,7.8,93.0,1002.8,14.5,80.0,26.8386,2012-01-12 01:00:00
266,10.6,9.4,92.0,1000.9,8.0,90.0,27.5054,2012-01-12 02:00:00
267,11.05,10.0,93.5,998.8,5.2,95.0,27.3387,2012-01-12 03:00:00
268,11.7,10.6,93.0,997.3,6.4,110.0,27.75545,2012-01-12 04:00:00
269,11.9,10.866666666666667,93.66666666666669,996.1,4.8,73.33333333333333,30.3393,2012-01-12 05:00:00
270,11.775,10.9,94.75,995.925,7.225,160.0,37.1739666667,2012-01-12 06:00:00
271,11.05,10.8,98.5,994.95,3.4,15.0,42.59165,2012-01-12 07:00:00
272,10.75,9.85,94.5,995.725,6.725,190.0,47.42595,2012-01-12 08:00:00
273,10.0,8.9,93.0,997.0,8.0,20.0,53.59385,2012-01-12 09:00:00
274,9.2,7.9,91.5,997.4,12.9,190.0,55.1775,2012-01-12 10:00:00
275,8.9,7.2,89.0,997.5,9.7,360.0,56.26105,2012-01-12 11:00:00
276,8.9,7.2,89.0,997.8,9.7,350.0,57.3446,2012-01-12 12:00:00
277,8.15,7.1,93.0,998.15,4.0,345.0,57.5113,2012-01-12 13:00:00
278,8.65,7.1,90.0,998.5,8.85,0.0,57.09455,2012-01-12 14:00:00
279,8.15,7.4,95.0,999.65,3.2,0.0,55.6776,2012-01-12 15:00:00
280,8.1,7.6,96.66666666666669,999.5333333333332,3.0666666666666664,23.33333333333333,53.42715,2012-01-12 16:00:00
281,8.0,8.0,100.0,999.9,4.8,0.0,50.3432,2012-01-12 17:00:00
282,7.55,6.925,95.75,1000.5,1.9,32.5,43.42515,2012-01-12 18:00:00
283,6.85,6.55,98.0,1000.45,0.4,50.0,38.5075833333,2012-01-12 19:00:00
284,6.05,5.8,98.5,999.8,0.6000000000000001,110.0,34.42345,2012-01-12 20:00:00
285,6.025,5.9,99.25,999.35,4.7,77.5,30.3393,2012-01-12 21:00:00
286,6.05,5.8,98.5,998.4,8.85,105.0,27.3387,2012-01-12 22:00:00
287,6.7,6.1,96.0,997.5,11.3,130.0,25.92175,2012-01-12 23:00:00
288,7.2,6.7,97.0,996.7,11.3,160.0,26.0051,2012-01-13 00:00:00
289,8.3,7.2,93.0,995.9,14.5,160.0,25.92175,2012-01-13 01:00:00
290,8.9,7.2,89.0,994.5,16.1,160.0,26.3385,2012-01-13 02:00:00
291,9.4,7.2,86.0,993.1,16.1,170.0,26.5052,2012-01-13 03:00:00
292,10.0,7.2,83.0,991.9,16.1,180.0,26.5052,2012-01-13 04:00:00
293,7.1,5.0,86.5,993.75,16.1,270.0,28.92235,2012-01-13 05:00:00
294,5.8,2.05,77.0,994.85,16.1,265.0,35.7570333333,2012-01-13 06:00:00
295,5.466666666666666,0.6666666666666666,71.66666666666667,996.3333333333334,16.1,246.66666666666663,40.341225,2012-01-13 07:00:00
296,,,,,,,45.3422,2012-01-13 08:00:00
297,1.1,-8.3,50.0,1000.3,16.1,240.0,52.59365,2012-01-13 09:00:00
298,1.7,-9.4,44.0,1000.9,16.1,240.0,55.5109,2012-01-13 10:00:00
299,1.1,-9.4,46.0,1001.3,16.1,250.0,55.59425,2012-01-13 11:00:00
300,1.1,-10.6,42.0,1001.3,16.1,260.0,55.59425,2012-01-13 12:00:00
301,,,,,,,55.26085,2012-01-13 13:00:00
302,1.1,-10.6,42.0,1003.5,16.1,270.0,54.6774,2012-01-13 14:00:00
303,0.0,-11.1,44.0,1005.5,16.1,260.0,53.0104,2012-01-13 15:00:00
304,-0.6,-12.2,42.0,1007.1,16.1,250.0,49.8431,2012-01-13 16:00:00
305,-0.6,-11.1,46.0,1008.2,16.1,260.0,45.6756,2012-01-13 17:00:00
306,0.0,-10.6,45.0,1009.3,16.1,250.0,39.5077416667,2012-01-13 18:00:00
